species,route,PFAS,clearance,clearance_units
monkey,iv,PFOA,12.4,ml/d/kg
monkey,iv,PFOA,5.3,ml/d/kg
monkey,iv,PFOS,1.1,ml/d/kg
monkey,iv,PFOS,1.65,ml/d/kg
monkey,iv,PFHxA,569,ml/d/kg
monkey,iv,PFHxA,535,ml/d/kg
monkey,iv,PFHxS,1.3,ml/d/kg
monkey,iv,PFHxS,1.9,ml/d/kg
monkey,iv,PFBA,2371,ml/d/kg
monkey,iv,PFBA,1075,ml/d/kg
monkey,iv,PFBS,159,ml/d/kg
monkey,iv,PFBS,238,ml/d/kg
monkey,iv,PFBS,12624,ml/d/kg
monkey,iv,PFBS,8832,ml/d/kg
rat,gavage,PFOA,23.1,ml/d/kg
rat,gavage,PFOA,20.9,ml/d/kg
rat,gavage,PFOA,40.4,ml/d/kg
rat,gavage,PFOA,20.4,ml/d/kg
rat,gavage,PFOA,27.1,ml/d/kg
rat,iv,PFOA,21.5,ml/d/kg
rat,iv,PFOA,47.39,ml/d/kg
rat,gavage,PFOA,778,ml/d/kg
rat,gavage,PFOA,655,ml/d/kg
rat,gavage,PFOA,645.12,ml/d/kg
rat,gavage,PFOA,1164,ml/d/kg
rat,gavage,PFOA,842,ml/d/kg
rat,iv,PFOA,816,ml/d/kg
rat,iv,PFOA,612.84,ml/d/kg
rat,iv,PFOA,50.4,ml/d/kg
rat,iv,PFOA,2233,ml/d/kg
rat,iv,PFOA,135,ml/d/kg
rat,iv,PFOA,2233,ml/d/kg
rat,gavage,PFOS,7.33,ml/d/kg
rat,gavage,PFOS,11.3,ml/d/kg
rat,gavage,PFOS,4.9,ml/d/kg
rat,iv,PFOS,9.24,ml/d/kg
rat,gavage,PFOS,8.52,ml/d/kg
rat,gavage,PFOS,22.2,ml/d/kg
rat,gavage,PFOS,5.4,ml/d/kg
rat,iv,PFOS,9.82,ml/d/kg
rat,iv,PFDA,207,ml/d/kg
rat,iv,PFDA,140,ml/d/kg
rat,iv,PFNA,6.9,ml/d/kg
rat,iv,PFNA,106,ml/d/kg
rat,iv,PFHpA,1604,ml/d/kg
rat,iv,PFHpA,3071,ml/d/kg
rat,iv,PFHxA,2784,ml/d/kg
rat,iv,PFHxA,18600,ml/d/kg
rat,gavage,PFHxS,7.15,ml/d/kg
rat,iv,PFHxS,9.01,ml/d/kg
rat,iv,PFHxS,6.7,ml/d/kg
rat,gavage,PFHxS,124.83,ml/d/kg
rat,iv,PFHxS,227.93,ml/d/kg
rat,iv,PFHxS,53.4,ml/d/kg
rat,iv,PFBA,851,ml/d/kg
rat,iv,PFBA,2949,ml/d/kg
rat,gavage,PFBA,494,ml/d/kg
rat,gavage,PFBA,1527,ml/d/kg
rat,iv,PFBS,946,ml/d/kg
rat,iv,PFBS,7464,ml/d/kg
rat,iv,PFBS,2856,ml/d/kg
rat,iv,PFBS,11265,ml/d/kg
mouse,iv,PFOA,14.2,ml/d/kg
mouse,iv,PFOA,11.8,ml/d/kg
mouse,gavage,PFOA,13.1,ml/d/kg
mouse,gavage,PFOA,9,ml/d/kg
mouse,iv,PFNA,3.9,ml/d/kg
mouse,iv,PFNA,5.1,ml/d/kg
mouse,gavage,PFNA,4,ml/d/kg
mouse,gavage,PFNA,2.4,ml/d/kg
mouse,iv,PFDA,2.2,ml/d/kg
mouse,iv,PFDA,2.8,ml/d/kg
mouse,gavage,PFDA,3.9,ml/d/kg
mouse,gavage,PFDA,2.2,ml/d/kg
mouse,iv,PFUnA,2.8,ml/d/kg
mouse,iv,PFUnA,3.4,ml/d/kg
mouse,gavage,PFUnA,5.7,ml/d/kg
mouse,gavage,PFUnA,3.1,ml/d/kg
mouse,iv,PFDoDA,4.4,ml/d/kg
mouse,iv,PFDoDA,4.8,ml/d/kg
mouse,gavage,PFDoDA,9.4,ml/d/kg
mouse,gavage,PFDoDA,5.2,ml/d/kg
mouse,gavage,PFBA,280,ml/d/kg
mouse,gavage,PFBA,296,ml/d/kg
mouse,gavage,PFBA,784,ml/d/kg
mouse,gavage,PFBA,564,ml/d/kg
mouse,gavage,PFBA,696,ml/d/kg
mouse,gavage,PFBA,1336,ml/d/kg
mouse,gavage,PFOS,4.7,ml/d/kg
mouse,gavage,PFOS,4.7,ml/d/kg
mouse,gavage,PFOS,5,ml/d/kg
mouse,gavage,PFOS,6,ml/d/kg
mouse,gavage,PFHxS,2.9,ml/d/kg
mouse,gavage,PFHxS,4.8,ml/d/kg
mouse,gavage,PFHxS,2.7,ml/d/kg
mouse,gavage,PFHxS,3.8,ml/d/kg
